SMILES,novelty,dist_to_D_A,dist_to_D_B,max_sim_D_A,max_sim_D_B,synthetic_accessibility,pred_group_A_absorption_max_nm,unc_group_A_absorption_max_nm,pred_group_A_log_extinction,unc_group_A_log_extinction,pred_group_A_photochem_efficiency,unc_group_A_photochem_efficiency,pred_group_B_log_kp,unc_group_B_log_kp,pred_group_B_skin_sensitization,unc_group_B_skin_sensitization,pred_group_B_skin_irritation,unc_group_B_skin_irritation,pass_surrogate_A,pass_surrogate_B,pass_surrogate_all,oracle_group_A_absorption_max_nm,oracle_group_A_log_extinction,oracle_group_A_photochem_efficiency,oracle_group_B_log_kp,oracle_group_B_skin_sensitization,oracle_group_B_skin_irritation,pass_oracle_A,pass_oracle_B,pass_oracle_all,pass_constraints,method_id,seed
COc1ccc(C=C2C3=C2C(c2ccc(OC)c(OC)c2)n2c(sc(=CC(=O)Oc4cccc(O)c4)c2=O)=N3)cc1OC,1,0.2603,0.716,0.7397,0.284,3.4859,479.3706,120.3886,4.2672,0.4516,0.2771,0.2266,-6.7293,1.203,0.4315,0.3819,0.1556,0.2693,0,1,0,463.4831,4.4824,-0.0596,-7.0217,0.0664,0.0066,0,1,0,0,B0,42
CC(=CN1CCCCC1CC1CCCCC1)Cc1n[nH]c(-c2cccc(C(F)(F)F)n2)n1,1,0.7353,0.5455,0.2647,0.4545,3.7334,343.9185,59.42,4.1551,0.5343,0.3284,0.2656,-7.4839,1.2756,0.4528,0.3906,0.2233,0.2847,1,1,1,356.1148,4.1535,0.3454,-7.9028,0.1742,0.0051,1,1,1,1,B0,42
Cc1ccc(-c2c3ccc([nH]3)c3nc(c(-c4ccc(-c5cc(C)c(O)c(C)c5)cc4)c4ccc([nH]4)c4ccc([nH]4)c(-c4ccc(C)cc4)c4ccc2o4)C=C3)cc1,1,0.3396,0.717,0.6604,0.283,5.261,526.8892,108.3691,3.6904,0.5431,0.1738,0.1609,-6.8075,1.2497,0.3404,0.389,0.2476,0.3111,0,1,0,566.3575,3.8919,0.1319,-7.6592,0.0155,0.0064,0,1,0,0,B0,42
CCCCCCn1cc(C(=O)c2ccc3c(c2O)C(C)(C)c2cc(N(C)C)ccc2-3)nn1,1,0.2459,0.6933,0.7541,0.3067,2.8439,402.7887,75.1011,4.2854,0.4751,0.2929,0.206,-6.1056,0.9249,0.4325,0.3873,0.1276,0.2314,1,1,1,413.2604,4.3017,0.2675,-5.8379,0.0602,0.004,1,1,1,1,B0,42
COc1ccc(-c2c(OC)cc(C(C)(C)C)c(O)c2C(C)(C)C)cc1,1,0.62,0.5116,0.38,0.4884,2.3266,315.1168,30.448,4.095,0.4007,0.314,0.2044,-7.0535,1.1869,0.4697,0.3554,0.2305,0.3196,1,1,1,333.8325,4.1051,0.2837,-6.4124,0.0906,0.0073,1,1,1,1,B0,42
FC(F)(F)c1cccc(-c2nc(-c3ccc(-c4ccccc4)cc3)nc3c2ccn3Nc2ccccn2)c1,1,0.6061,0.7115,0.3939,0.2885,2.6642,355.0106,41.5684,4.4098,0.2345,0.2639,0.2251,-7.0691,1.3156,0.4382,0.3981,0.1916,0.2707,1,1,1,354.8019,4.323,0.3958,-7.1554,0.0853,0.0116,1,1,1,1,B0,42
CCC(C)(C)c1c(O)c(C#N)c(C(=O)OC)c(C(C)(C)CC)c1OC,1,0.7391,0.6667,0.2609,0.3333,3.1328,362.029,66.9321,3.5185,0.7144,0.2421,0.2115,-6.7595,1.2589,0.4885,0.3827,0.2288,0.2884,0,1,0,349.2976,3.3498,0.1554,-6.2938,0.0827,0.0058,0,1,0,0,B0,42
Cc1ccc(N(c2ccc(C)cc2)c2ccc(C=CCO)cc2)cc1,1,0.5,0.5161,0.5,0.4839,2.0795,380.3646,27.7275,4.4307,0.2976,0.1348,0.1413,-6.7337,1.2144,0.4442,0.3531,0.2639,0.3311,0,1,0,387.3634,4.3887,0.2048,-6.8811,0.0789,0.0035,0,1,0,0,B0,42
CCOc1cc(C=C(C#N)c2ccc(N(c3ccccc3)c3cccc(C(C)(C)C)c3)cc2)ccc1O,1,0.4915,0.5538,0.5085,0.4462,2.5197,410.2835,48.3802,4.4262,0.4033,0.205,0.1713,-6.8911,1.394,0.4587,0.391,0.1465,0.2558,0,1,0,430.4722,4.4944,0.2671,-6.6442,0.0274,0.0038,0,1,0,0,B0,42
CN(C)c1ccc(/C=C2\CC/C(=C\c3ccc(C(=O)N4CCC[C@H]5CNC[C@H]54)cc3)C2=O)cc1,1,0.5094,0.619,0.4906,0.381,3.4181,471.4463,91.1307,4.2338,0.4527,0.1283,0.1123,-6.6918,0.8192,0.521,0.4012,0.18,0.2731,0,0,0,449.2716,4.4528,0.0839,-6.8601,0.1304,0.0077,0,1,0,0,B0,42
COC(=O)C=Cc1ccc(C#N)cc1,1,0.5349,0.2759,0.4651,0.7241,1.9402,321.3334,20.7874,4.0043,0.3492,0.093,0.117,-5.4791,0.5897,0.5708,0.3626,0.2187,0.305,0,0,0,323.3547,3.9888,0.1515,-5.315,0.8707,0.014,0,0,0,0,B0,42
Cc1ccccc1-c1ccccc1,1,0.3889,0.5,0.6111,0.5,1.1519,290.7117,44.4072,4.0453,0.4775,0.1646,0.1267,-4.4455,0.9033,0.4335,0.331,0.4166,0.3509,0,0,0,288.6406,4.1447,0.2326,-4.3024,0.1464,0.0962,0,0,0,0,B0,42
COC=CC=CC=Cc1ccc2c(=C3SC=CS3)c3ccccc3c(=C3SC=CS3)c2c1,1,0.3778,0.6735,0.6222,0.3265,3.7809,372.3747,44.0294,4.5176,0.1608,0.1908,0.1719,-7.3806,1.3875,0.4665,0.3635,0.1839,0.2696,0,1,0,371.1393,4.5356,0.1831,-7.6154,0.0453,0.0357,0,1,0,0,B0,42
COc1ccccc1-c1cnc(C#Cc2ccc(C(F)(F)F)cc2)o1,1,0.3617,0.717,0.6383,0.283,2.5036,334.0981,53.9389,4.2817,0.3061,0.4006,0.1419,-7.0727,1.2942,0.5479,0.3426,0.2547,0.3099,1,0,0,329.6309,4.3165,0.3707,-6.1061,0.199,0.0126,1,1,1,1,B0,42
O=C(O)C(=Cc1cc2c3c(c1)CCCN3CCC2)CCCCCCCCCO,1,0.4375,0.7119,0.5625,0.2881,2.6275,400.842,74.0426,4.0829,0.6127,0.1448,0.156,-6.6798,1.0094,0.3941,0.366,0.2274,0.3112,0,1,0,372.9017,3.89,0.217,-6.2617,0.2346,0.0063,0,1,0,0,B0,42
CCOC(=O)c1c(-c2cc[n+](CCCS(=O)(=O)[O-])c(C(F)(F)F)c2)cc2ccccc2c1O,1,0.6506,0.5606,0.3494,0.4394,3.2808,425.1714,74.5902,4.4608,0.2538,0.2895,0.2755,-6.5888,1.1638,0.411,0.3795,0.0871,0.1952,0,1,0,408.7888,4.2276,0.3234,-7.0293,0.0716,0.0031,1,1,1,1,B0,42
COc1cc(C)ccc1Cl,1,0.5833,0.4444,0.4167,0.5556,1.3849,281.04,32.6204,3.5842,0.4051,0.282,0.1642,-4.9239,0.4445,0.5925,0.3379,0.5157,0.3213,0,0,0,286.3622,3.5943,0.1433,-4.6976,0.2125,0.5488,0,0,0,0,B0,42
O=C(Oc1ccccc1-c1ccc(O)cc1)c1ccccc1,1,0.6316,0.3939,0.3684,0.6061,1.6095,332.0534,31.0403,4.1304,0.3509,0.2529,0.1811,-6.9258,1.1652,0.5266,0.347,0.1535,0.2438,1,0,0,315.0727,4.0554,0.246,-6.8207,0.0933,0.0063,0,1,0,0,B0,42
CC(=O)Nc1nc(=O)n([C@@H]2O[C@H](CO)[C@H](O)[C@@H]2O)c(C)c1-c1ccc(C(C)(C)C)cc1,1,0.6094,0.5,0.3906,0.5,3.7985,368.2505,98.3717,4.3726,0.3208,0.3293,0.308,-7.3002,0.9835,0.6136,0.3713,0.2175,0.3091,1,0,0,392.7588,4.4637,0.3932,-7.3813,0.6512,0.0163,1,0,0,0,B0,42
CCCCCCCc1ccccc1,1,0.5172,0.1905,0.4828,0.8095,1.2604,275.3225,48.0813,3.946,0.5146,0.2154,0.2391,-4.1319,0.8063,0.244,0.2423,0.4032,0.2978,0,0,0,274.1008,3.8659,0.2264,-3.3997,0.0551,0.8044,0,0,0,0,B0,42
Cc1ccccc1C(=O)N[C@@H]1CC[C@@H](C)NC1,1,0.6724,0.3415,0.3276,0.6585,2.7394,287.8301,72.0162,4.0702,0.3125,0.2404,0.2311,-7.1144,1.2277,0.4435,0.3875,0.3086,0.3566,0,1,0,271.3575,3.9838,0.1771,-7.3234,0.1251,0.0314,0,1,0,0,B0,42
CCCCCCCCC(CCCCCC)Cn1c2c3ccc(-c4ccccc4)cc3sc2c2sc3cc(-c4ccc(/C=C(\C#N)C(=O)O)s4)cc(O)c3c21,1,0.2027,0.7097,0.7973,0.2903,4.0362,475.6659,34.3189,4.3936,0.3936,0.2257,0.1918,-6.6764,1.3772,0.3302,0.3689,0.1091,0.2233,0,1,0,461.8947,4.559,0.2321,-7.9511,0.0261,0.0055,0,1,0,0,B0,42
CCC(=O)c1ccc(Cl)cc1Cl,1,0.6,0.4872,0.4,0.5128,1.7165,271.5145,30.0084,3.7765,0.4857,0.1549,0.1667,-4.5399,0.7132,0.5396,0.3549,0.4166,0.3444,0,0,0,280.0504,3.5726,0.1848,-4.3674,0.3619,0.0625,0,0,0,0,B0,42
COC(C#N)=Cc1ccc(C#Cc2ccc(N(c3ccc(C#Cc4ccc(OC)cc4)cc3)c3ccc(C#Cc4ccc(OC)cc4)cc3)cc2)cc1,1,0.3191,0.5769,0.6809,0.4231,3.0407,410.9155,21.8499,4.4314,0.4304,0.2336,0.2148,-6.6416,1.3004,0.4862,0.3914,0.1389,0.225,0,1,0,420.0722,4.6499,0.2601,-7.0973,0.2146,0.0053,0,1,0,0,B0,42
CC(C)(C)c1ccc(C(=O)c2cc(C(=O)c3ccc(C(C)(C)C)cc3)c(-c3ccc(C(C)(C)C)cc3)c(C(=O)c3ccc(C(C)(C)C)cc3)c2)cc1,1,0.6,0.3333,0.4,0.6667,2.5397,356.3707,42.7616,4.5398,0.2177,0.3918,0.1265,-7.0921,1.3204,0.3896,0.3656,0.1954,0.2964,1,1,1,369.0263,4.3541,0.4082,-6.8941,0.0654,0.0043,1,1,1,1,B0,42
COC(=O)c1c(C)ccc2cc3c4ccc(-c5cc(Cl)ccc5O)cc4c4ccccc4n3c12,1,0.6667,0.6094,0.3333,0.3906,2.563,366.6076,58.7496,4.2867,0.2727,0.2203,0.1386,-6.909,1.3808,0.5407,0.4066,0.1463,0.2677,0,0,0,385.0921,4.2165,0.3662,-6.912,0.0572,0.0051,1,1,1,1,B0,42
CCc1nc2cc(C(F)(F)F)ccc2[nH]1,1,0.6607,0.6731,0.3393,0.3269,2.1735,297.4153,42.023,3.9481,0.3893,0.2882,0.2284,-4.9389,0.8196,0.4425,0.321,0.3724,0.318,1,0,0,316.431,3.9454,0.3123,-4.6454,0.0924,0.0579,1,0,0,0,B0,42
NC(=O)c1ccc(-c2nc3ccccc3n2-c2ccccc2)cc1,1,0.3243,0.58,0.6757,0.42,1.7747,332.5362,19.8168,4.1884,0.2656,0.2968,0.225,-6.8346,1.1119,0.5852,0.3588,0.1863,0.2649,1,0,0,321.8964,4.1318,0.2464,-7.0626,0.396,0.0048,0,1,0,0,B0,42
COC(=O)c1cccc(-c2cccc(-c3ccc4nc(N=Nc5ccc(F)cc5)sc4c3)c2O)c1,1,0.5238,0.541,0.4762,0.459,2.6013,445.102,72.2622,4.2433,0.4922,0.2107,0.2001,-6.6482,0.9844,0.4613,0.3929,0.1214,0.2147,0,1,0,458.2894,4.342,0.3308,-6.5574,0.0454,0.0058,0,1,0,0,B0,42
C=C(C)C=C1N=C(C)N(Cc2ccccc2)C1=O,1,0.4423,0.7,0.5577,0.3,2.7188,318.5127,46.7839,4.0514,0.3595,0.0478,0.0718,-6.6957,1.4728,0.4647,0.3749,0.2457,0.308,0,1,0,308.2037,3.9838,0.0781,-6.8374,0.2891,0.011,0,1,0,0,B0,42
COc1cc(OC)c(C(=O)/C=C/c2ccccc2O)c(O)c1OC,0,0.6071,0.0,0.3929,1.0,2.3193,329.0087,34.5354,4.2415,0.3383,0.1829,0.1704,-6.6375,0.6167,0.5666,0.3638,0.1509,0.2588,0,0,0,360.9084,4.384,0.1712,-6.5655,0.08,0.0099,0,1,0,0,B0,42
CCC1(C)CC(NC(=O)CCCCC(=O)C#N)C(C)C(C)(CC)N1,1,0.7692,0.1628,0.2308,0.8372,4.3536,356.1953,107.7122,2.6941,1.1626,0.272,0.3275,-6.7317,0.969,0.4781,0.4257,0.3,0.3324,0,1,0,418.4404,2.4501,0.2274,-6.5437,0.0972,0.0688,0,1,0,0,B0,42
CCCCCCCCc1cc(=O)c2cc(O)ccc2o1,1,0.3158,0.5918,0.6842,0.4082,2.1717,309.8228,52.3593,3.9946,0.5525,0.3774,0.2714,-6.4593,1.2228,0.3696,0.3475,0.2283,0.3036,1,1,1,323.6164,4.0662,0.2477,-6.1534,0.2131,0.0034,0,1,0,0,B0,42
O=C(NCC1(c2ccccc2)CCNCC1)c1ccc(C(F)(F)F)cc1,1,0.7069,0.4314,0.2931,0.5686,2.224,313.7089,41.9159,4.0806,0.3274,0.3285,0.218,-6.9107,1.0822,0.5097,0.3947,0.2268,0.297,1,0,0,306.8533,4.1023,0.3611,-6.656,0.1606,0.0067,1,1,1,1,B0,42
Cc1ccccc1C(=O)c1ccc(CCCCCCCN2c3ccccc3Oc3cc(-c4nc5ccc(-c6ccc(C=C(C#N)C(=O)O)o6)cc5s4)ccc32)cc1O,1,0.2667,0.6882,0.7333,0.3118,3.3642,476.0765,69.4651,4.4272,0.4729,0.2618,0.2291,-7.1404,1.5128,0.4375,0.3904,0.1364,0.2488,0,1,0,470.2816,4.3292,0.1874,-7.206,0.0882,0.0047,0,1,0,0,B0,42
CCOc1ccc(NO)cc1,1,0.6809,0.5333,0.3191,0.4667,1.7518,264.9099,20.7589,3.6659,0.4536,0.2205,0.16,-5.2125,0.7521,0.5483,0.3558,0.2841,0.3014,0,0,0,281.5416,3.7825,0.2416,-4.7469,0.1141,0.0389,0,0,0,0,B0,42
O=C(Nc1ccc(OCCN2CCCCC2)cc1)C1C(O)CC(O)(C(=O)O)CC1O,1,0.6977,0.4918,0.3023,0.5082,3.231,292.6709,54.1694,3.6688,0.9184,0.2284,0.2561,-7.9505,0.9756,0.6689,0.3696,0.2401,0.2944,0,0,0,301.6018,3.8357,0.2579,-8.288,0.4281,0.1499,1,1,1,1,B0,42
CC(C)(C)c1cccc(C#N)c1,1,0.5714,0.5161,0.4286,0.4839,1.8493,275.9451,16.2938,3.4964,0.4941,0.1895,0.1753,-5.4212,0.9552,0.4554,0.35,0.5438,0.3551,0,0,0,297.5968,3.5076,0.2423,-6.3584,0.1207,0.0754,0,1,0,0,B0,42
CC(C)(C)c1cc(Sc2cc(F)c(O)c(C(F)(F)F)c2)ccc1O,1,0.7,0.3429,0.3,0.6571,2.682,327.7524,59.3916,4.2436,0.4239,0.293,0.2062,-6.9742,1.0507,0.5823,0.3614,0.3139,0.3636,1,0,0,313.6727,4.2549,0.2473,-6.5177,0.5709,0.0057,0,0,0,0,B0,42
C[n+]1ccc2c(ccc3c[n+](C)c4ccc5cccc(C#N)c5c4c32)c1,1,0.3721,0.7347,0.6279,0.2653,3.2584,438.16,87.0276,4.1323,0.3568,0.4862,0.2543,-6.9668,1.2257,0.5341,0.3813,0.3147,0.3401,0,0,0,450.1808,4.0859,0.3092,-7.3249,0.3089,0.0069,0,1,0,0,B0,42
Cc1ccc(O)c(-c2ccc(/C=C3\N=C(c4ccccc4)OC3=O)cc2)c1,1,0.44,0.5741,0.56,0.4259,2.1632,374.0747,27.8229,4.3578,0.2439,0.1524,0.1406,-6.7967,0.9246,0.4914,0.3656,0.1491,0.2325,0,1,0,396.9698,4.2501,0.2445,-7.0469,0.0459,0.0053,0,1,0,0,B0,42
CCCCC(CC)COc1ccc(C)c(NC(=O)OC)c1C,1,0.625,0.5849,0.375,0.4151,2.7307,309.168,57.5501,3.525,0.6991,0.3112,0.2587,-6.8927,1.5352,0.3242,0.3678,0.068,0.1594,0,1,0,312.9688,3.8603,0.2337,-6.8215,0.0688,0.0054,0,1,0,0,B0,42
Cc1ccc(CC(C)(C)C)cc1,1,0.5556,0.3478,0.4444,0.6522,1.6056,268.7377,23.0867,3.7699,0.6162,0.2594,0.1728,-4.302,0.8512,0.2781,0.2799,0.6039,0.3089,0,0,0,265.6731,3.849,0.2923,-4.2648,0.0455,0.8577,0,0,0,0,B0,42
CSc1ccc2c3c(cccc13)C1=NC(=O)C(c3ccc4c(c3)Cc3ccccc3-4)=C12,1,0.4483,0.678,0.5517,0.322,2.8688,399.5237,60.5835,4.2732,0.3604,0.3971,0.2151,-6.9649,1.3817,0.4964,0.378,0.2347,0.3084,1,1,1,415.3611,4.2534,0.3869,-6.9719,0.2296,0.0083,1,1,1,1,B0,42
CC(=O)c1ccc([SiH](C)C)c2ccccc12,1,0.3846,0.5,0.6154,0.5,2.8548,292.1934,32.8057,4.0307,0.2934,0.2001,0.2424,-6.3435,1.3504,0.4625,0.3479,0.3108,0.3304,0,1,0,299.644,3.9506,0.1024,-6.2067,0.3625,0.0603,0,1,0,0,B0,42
CCOC(=O)N1CCC2(CCNCC2)C1,1,0.7234,0.3421,0.2766,0.6579,2.9625,417.1821,121.928,3.0308,1.0633,0.2184,0.2213,-6.3177,1.0003,0.3363,0.3706,0.318,0.3275,0,1,0,377.2056,3.2288,0.2474,-6.1045,0.0357,0.1065,0,1,0,0,B0,42
COc1ccc(-c2ccc3n2[B-](F)(F)n2cccc2C3=[N+](C)C)cc1,1,0.4103,0.675,0.5897,0.325,3.556,399.1553,86.5653,4.4411,0.2409,0.347,0.1538,-6.8738,1.1748,0.5022,0.3531,0.3199,0.3515,1,0,0,397.5141,4.4786,0.4327,-6.887,0.2405,0.0367,1,1,1,1,B0,42
CCNC(=O)C1CCCCN1,1,0.8077,0.2258,0.1923,0.7742,2.5972,428.9174,109.1411,3.0947,1.0417,0.2308,0.1885,-6.57,0.7774,0.4509,0.3877,0.5489,0.3358,0,0,0,371.7228,2.978,0.2193,-6.6387,0.0699,0.8679,0,0,0,0,B0,42
CCOC1OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O1,1,0.5682,0.75,0.4318,0.25,4.4669,396.0208,146.4129,3.0357,0.945,0.2774,0.2668,-7.1656,1.2576,0.5675,0.3928,0.453,0.3461,0,0,0,401.2032,2.7243,0.3043,-7.4752,0.1458,0.4701,0,1,0,0,B0,42
COC(=O)c1cc(-c2ccc3c(c2)Sc2cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc2N3C(=O)c2ccccc2O)ccc1C,1,0.4125,0.6712,0.5875,0.3288,3.0289,458.9326,65.0969,4.2954,0.5223,0.323,0.2491,-6.9497,1.3171,0.4533,0.3963,0.0703,0.1771,0,1,0,458.0972,4.434,0.2256,-7.2359,0.0938,0.0056,0,1,0,0,B0,42
COc1ccc(-c2cnc(-c3ccc(C=O)cc3)n2C)cc1-c1ccc(C(C)(C)C)cc1,1,0.5077,0.6471,0.4923,0.3529,2.4015,348.0239,35.8944,4.4086,0.325,0.3352,0.2078,-7.0836,1.2995,0.498,0.3695,0.2152,0.2945,1,1,1,345.3697,4.3243,0.3,-6.1946,0.0755,0.0111,1,1,1,1,B0,42
COC(=O)c1cc(C(=O)CC(C)(C)O)n2nc(-c3ccc(Br)c(N(C)C)c3)ccc12,1,0.459,0.7101,0.541,0.2899,3.0019,333.0985,71.492,4.1833,0.4927,0.3623,0.2285,-6.7777,0.9497,0.5412,0.3907,0.1416,0.2305,1,0,0,346.0923,3.985,0.3262,-6.4857,0.2568,0.0064,1,1,1,1,B0,42
O=C(O)C(=O)c1ccc(O)cc1,0,0.5769,0.0,0.4231,1.0,1.7773,277.0748,28.6586,4.0232,0.4608,0.1799,0.1581,-6.281,0.7674,0.7854,0.2348,0.3877,0.3346,0,0,0,287.306,3.6572,0.2139,-6.5524,0.5979,0.0588,0,0,0,0,B0,42
N#C/C(=C\c1ccc2c(c1)Sc1cc(C(=O)c3ccc(CSCC(=O)O)cc3)ccc1N2c1ccccc1)C(=O)O,1,0.4533,0.6377,0.5467,0.3623,2.842,454.4729,35.1181,4.3766,0.4327,0.3391,0.259,-6.8664,1.3351,0.4665,0.4014,0.1382,0.2419,0,1,0,390.7671,4.2261,0.2228,-6.8561,0.1001,0.0072,0,1,0,0,B0,42
CC(C)NC1CCCN(C(=O)ON(C)C)C1,1,0.7963,0.35,0.2037,0.65,3.1826,447.7685,144.0651,3.152,0.9514,0.1978,0.2127,-7.0756,1.0705,0.5155,0.4023,0.5031,0.3741,0,0,0,613.8256,3.054,0.1934,-7.0013,0.6859,0.8225,0,0,0,0,B0,42
COc1cccnc1OC(=O)Cc1ccccc1,1,0.6279,0.5,0.3721,0.5,1.8774,299.6969,35.104,3.9466,0.4419,0.2702,0.2045,-6.594,1.1257,0.3165,0.3269,0.1838,0.2562,1,1,1,286.5634,4.088,0.2071,-6.5476,0.0888,0.0081,0,1,0,0,B0,42
Cc1cc(C=Cc2ccccc2O)n2c1C=C1C=CC=[N+]1[B-]2(F)F,1,0.1538,0.7455,0.8462,0.2545,3.9632,562.292,3.6296,4.4861,0.307,0.2006,0.2209,-6.884,1.3648,0.5546,0.3625,0.2953,0.3294,0,0,0,563.2702,4.6201,0.3727,-7.412,0.2672,0.0046,0,1,0,0,B0,42
CCCCn1c2ccccc2c2ccc(C#CC(=O)OC)cc21,1,0.4286,0.6531,0.5714,0.3469,2.3675,343.2406,40.8387,4.1725,0.3791,0.4012,0.1357,-6.8469,1.5153,0.4525,0.3539,0.0821,0.17,1,1,1,347.1548,4.3221,0.3602,-7.976,0.1202,0.0035,1,1,1,1,B0,42
CCC(=O)c1nnn(-c2c(C(=O)OC)cnc3cc(Cl)ccc23)c1C,1,0.5479,0.625,0.4521,0.375,2.6478,325.3868,47.6323,4.1146,0.3797,0.4065,0.175,-6.7225,1.3627,0.5715,0.3773,0.1545,0.2615,1,0,0,330.5805,4.3263,0.3318,-7.0425,0.1936,0.011,1,1,1,1,B0,42
Cc1cc(Cc2nnc(/N=N/c3c(C)[nH]c4ccccc34)s2)c(O)c(-n2nc3cccc(O)c3n2)c1,1,0.4928,0.5303,0.5072,0.4697,3.301,437.1662,52.5047,4.2344,0.5333,0.2133,0.1958,-7.1522,1.2267,0.4274,0.4087,0.1977,0.2894,0,1,0,425.8015,4.091,0.2237,-7.6569,0.0207,0.0046,0,1,0,0,B0,42
N#Cc1ccc(/C=C/C=CCC2CCCCC2)cc1,1,0.5,0.6735,0.5,0.3265,2.4053,316.9799,61.8726,4.2199,0.3989,0.1471,0.1872,-7.2243,1.344,0.304,0.3519,0.307,0.3286,0,1,0,315.9893,4.1141,0.2248,-7.2482,0.0947,0.0115,0,1,0,0,B0,42
COc1cc(C=COc2ccc(C(c3c(O)ccc4ccccc34)c3c(O)ccc4ccccc34)cc2)cc(I)c1O,1,0.7108,0.5625,0.2892,0.4375,2.9331,529.615,145.1748,4.3705,0.2893,0.1624,0.1499,-6.9687,1.141,0.4172,0.4034,0.1097,0.1896,0,1,0,478.5188,4.4689,0.1987,-7.3256,0.0376,0.0068,0,1,0,0,B0,42
CCc1ccc(C(F)(F)F)cc1,1,0.5652,0.5,0.4348,0.5,1.5105,284.3714,52.3723,3.741,0.5678,0.1952,0.172,-4.3651,0.8331,0.3925,0.2948,0.5957,0.3028,0,0,0,298.072,3.7979,0.3307,-4.2818,0.0423,0.6195,0,0,0,0,B0,42
CCCCCCCCC=CCC[B-]12NC(c3ccc(C)cc3)=Nc3cccc([n+]31)N=C(c1ccc(C)cc1C(F)(F)F)N2,1,0.6269,0.7595,0.3731,0.2405,4.3061,479.9126,96.7589,4.4951,0.2518,0.2245,0.1741,-6.4345,0.9953,0.3095,0.3466,0.1911,0.2747,0,1,0,529.4278,4.7564,0.328,-6.7139,0.0214,0.0086,0,1,0,0,B0,42
CC(C)(C)c1ccc2c(c1)n[n+](-c1cc(CC3=CCC(C=O)CC3)cc(C(F)(F)F)c1)c1ccccc21,1,0.4127,0.6849,0.5873,0.3151,3.9237,419.2124,97.1284,4.4873,0.4065,0.2745,0.2155,-7.6458,1.5521,0.3577,0.3418,0.3047,0.3605,1,1,1,438.8589,4.5737,0.399,-7.3276,0.0402,0.0084,0,1,0,0,B0,42
CCCCC(CC)COc1cc2c(cc1Cc1ccc(C#N)cc1)OCO2,1,0.6627,0.5571,0.3373,0.4429,2.8365,320.956,45.2727,4.2873,0.2663,0.4694,0.1855,-7.3559,1.415,0.4311,0.3833,0.1403,0.2506,1,1,1,332.5571,4.2134,0.4355,-6.8915,0.1233,0.0135,1,1,1,1,B0,42
CC(C)(C)c1cc(SSS/C(C#N)=C\c2c(C#N)c3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)c(O)c(C(C)(C)C)c1,1,0.5795,0.6712,0.4205,0.3288,4.1404,443.9802,99.0841,4.4621,0.305,0.2442,0.2473,-7.2798,1.4482,0.4509,0.41,0.2529,0.3532,0,1,0,459.2326,4.6006,0.1845,-6.7979,0.1301,0.0119,0,1,0,0,B0,42
COC(=O)c1cc2nc(-c3ccc(C=CC=O)cc3O)[nH]c2cc1C(=O)OC,1,0.3333,0.5849,0.6667,0.4151,2.7608,352.8261,49.0496,4.3547,0.2733,0.2057,0.2038,-6.7179,0.7739,0.5127,0.385,0.1542,0.2398,0,0,0,355.3515,4.3532,0.2682,-6.188,0.1057,0.0124,1,1,1,1,B0,42
CCOC(=O)C1CCN(c2sc(-c3ccc(C(C)(C)C)c(F)c3)cc2P(=O)(c2ccccc2)c2ccccc2)CC1,1,0.642,0.6857,0.358,0.3143,3.0403,367.6187,48.5572,4.2695,0.3492,0.4064,0.2297,-7.1436,1.5772,0.3418,0.37,0.1679,0.3112,1,1,1,346.813,4.2585,0.3656,-7.4163,0.0334,0.0032,1,1,1,1,B0,42
COC(=O)c1ccccc1[Si](OC(C)C)(c1ccccc1)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1,0.6304,0.551,0.3696,0.449,3.4582,338.0074,78.3775,4.3428,0.2726,0.4245,0.2512,-7.102,1.3,0.395,0.3681,0.1989,0.3143,1,1,1,361.9908,4.2833,0.3821,-6.8382,0.0259,0.0076,1,1,1,1,B0,42
CCCCCc1cccc(C#N)c1,1,0.6087,0.5625,0.3913,0.4375,1.6778,289.0552,46.3594,3.6198,0.5027,0.1789,0.2144,-5.1801,1.2002,0.378,0.3172,0.4392,0.3423,0,1,0,298.7875,3.5435,0.211,-5.7924,0.1325,0.1608,0,1,0,0,B0,42
Cc1cc(Cl)ccc1-c1cc(-c2nc3cnccn3c2NC(C)(C)C)nn1-c1ccccc1,1,0.2097,0.7671,0.7903,0.2329,2.7508,363.7104,50.926,4.4018,0.4771,0.2259,0.156,-7.1965,1.4438,0.4974,0.398,0.2611,0.333,0,1,0,373.395,4.0335,0.3198,-7.438,0.027,0.0106,1,1,1,1,B0,42
N#Cc1cc(C(F)(F)F)sc1C(C#N)C#N,1,0.7353,0.7556,0.2647,0.2444,3.6864,302.595,31.1252,3.8209,0.6723,0.2254,0.188,-6.6443,1.3011,0.6624,0.3328,0.373,0.3281,0,0,0,300.8142,3.9356,0.2581,-5.8425,0.5828,0.0524,1,0,0,0,B0,42
O=C(CO)c1cc(Cl)cc(Cl)c1,1,0.6667,0.5517,0.3333,0.4483,2.0487,266.5814,15.3021,3.8151,0.3746,0.158,0.1408,-5.3842,0.6038,0.7296,0.2737,0.4636,0.3226,0,0,0,295.9254,3.5956,0.2078,-5.8212,0.6269,0.5556,0,0,0,0,B0,42
